"CODE","CNAME"
"0000","零售"
"0001","門市現銷"
"0002","書展"
"0003","各家電子書"
"0004","文化幣貨款"
"001","證主圖書中心"
"002","財團法人台灣基督宣道團"
"003","真哪噠股份有限公司"
"004","信望愛書房(屏東)"
"004-1","信望愛書房(高雄)"
"005","得拉戶(漢語)"
"006","富國水泥釘股份有限公司"
"007","浸宣書房"
"008","財團法人基督教以琳書房"
"009","財團法人台北市基督教校園福音團契附屬校園"
"010","財團法人棕樹文教基金會"
"011","財團法人台灣基督長老教會台灣教會公報社"
"013","華宣出版有限公司"
"014","財團法人台灣聖經公會"
"017","永望文化事業有限公司"
"018","滾石移動股份有限公司"
"019","祥太實業有限公司"
"020","揚彩印刷有限公司"
"021","財團法人基督教宇宙光全人關懷機構"
"022","益德明科技物流(股)有限公司"
"023","愛加倍福音書房"
"024","弘雅圖書股份有限公司"
"026","貿騰發賣股份有限公司"
"027","財團法人基督教台灣信義會附設道聲出版社"
"028","財團法人臺灣福音書房"
"029","蘋果與香柏木"
"030","財團法人中華基督教嘉義浸信會附設雅歌書房"
"031","財團法人基督教中國主日學協會"
"032","以諾書房"
"033","衛理福音書局"
"034","天恩"
"035","改革宗出版有限公司"
"100","行政處"
"101","教牧處"
"102","宣道處"
"103","文宣處"
"104","聯總"
"105","真耶穌教會神學院"
"106","箴言˙詩篇聖樂團"
"107","北區辦事處"
"108","中區辦事處"
"109","中南區辦事處"
"110","真耶穌教會南區辦事處"
"111","東北區辦事處"
"112","東南區辦事處"
"113","西區辦事處"
"114","利河伯社會福利基金會"
"115","崙尾安老院"
"116","埔里基督仁愛之家"
"117","利河伯社會福利基金會附設長照中心"
"118","博愛幼兒園"
"119","葡萄園社會關懷協會"
"120","中區大專聯契"
"121","教會其他單位"
"122","傳道禮券專用"
"123","同工禮券專用"
"124","北區宣牧中心"
"201","羅大維"
"202","羅大德"
"203","林至人"
"204","蕭恩奇"
"205","陳見昇"
"206","陳建民"
"207","薛中梅"
"208","葉美珍"
"209","李世州"
"210","朱安德烈"
"211","梁璋引"
"301","零售"
"302","零售"
"303","零售"
"304","零售"
"305","零售"
"306","零售"
"307","手冊廣告客戶"
"308","零售"
"AA01","臺北教會"
"AA02","大同教會"
"AA03","東園教會"
"AA04","北投教會"
"AA05","松山教會"
"AA05-1","馬祖祈禱所"
"AA06","石牌教會"
"AA07","雙連教會"
"AA08","景美教會"
"AA09","內湖教會"
"AA10","天母教會"
"AA11","南港教會"
"AA12","木柵教會"
"AA13","烏來祈禱所"
"AA14","八里教會"
"AA15","安康教會"
"AA16","信義教會"
"AC01","基隆教會"
"AC02","八斗教會"
"AC03","汐止教會"
"AF01","三重教會"
"AF01-1","三重小區"
"AF02","永和教會"
"AF02-1","永和小區"
"AF03","淡水教會"
"AF03-1","三芝祈禱所"
"AF04","二重教會"
"AF05","板橋教會"
"AF05-1","板橋小區"
"AF06","蘆洲教會"
"AF07","分子尾教會"
"AF08","樹林教會"
"AF09","新莊教會"
"AF10","中和教會"
"AF11","新埔教會"
"AF12","鶯歌教會"
"AF13","山佳教會"
"AF14","土城教會"
"AF15","五股教會"
"AF16","萬里教會"
"AF17","後埔教會"
"AF18","南勢角教會"
"AF19","鳶山祈禱所"
"AF20","三峽教會"
"AF21","樹東祈禱所"
"AF22","竹圍祈禱所"
"AH01","南崁教會"
"AH02","桃園教會"
"AH03","內壢教會"
"AH04","中壢教會"
"AH04-1","楊梅祈禱所"
"AH05","龍潭教會"
"AH06","一聖教會"
"AH07","大園教會"
"AH08","林口教會"
"AH09","龜山教會"
"AH10","八德教會"
"AH11","北桃園教會"
"AH12","新林教會"
"AJ01","竹東教會"
"AJ02","關東橋教會"
"AJ03","南寮教會"
"AJ04","新竹教會"
"AJ05","新竹小區"
"AJ06","關西教會"
"AJ07","南新竹教會"
"AJ08","竹北教會"
"AJ09","湖口祈禱所"
"AJ10","芎林福音中心"
"AJ11","芎林祈禱所"
"AJ12","內湖福音中心"
"AU01","澳洲聯絡處"
"AU02","布里斯本教會(澳)"
"AU03","墨爾本教會(澳)"
"AU04","柏斯教會(澳洲)"
"AU05","雪梨教會(澳)"
"BB01","台中教會"
"BB02","南台中教會"
"BB03","西台中教會"
"BB04","北台中教會"
"BB05","黎明教會"
"BB06","永福教會"
"BB07","大雅教會"
"BB08","埔里教會"
"BB09","南投教會"
"BB1","中投小區"
"BB-1","迦密文化事業(股)公司"
"BK01","卓蘭教會"
"BK02","苗栗教會"
"BK03","清水教會"
"BK04","豐原教會"
"BK05","沙鹿教會"
"BK06","太平教會"
"BK07","自強教會"
"BK08","內新教會"
"BN01","伸港教會"
"BN02","二林教會"
"BN03","和美教會"
"BN04","草港教會"
"BN04-1","草港尾祈禱所"
"BN05","崙尾教會"
"BN06","溪湖教會"
"BN07","鹿港教會"
"BN08","塭仔教會"
"BN09","彰化教會"
"BN10","鹿和教會"
"BN11","員林教會"
"BN12","彰興教會"
"BN13","白沙教會"
"BN14","花壇教會"
"BN15","財團法人真耶穌教會臺灣總會彰南福音中心"
"C01","蒙特婁祈禱所(加拿大)"
"C02","溫哥華教會(加拿大)"
"C03","多倫多教會(加拿大)"
"C04","卡加利教會(加拿大)"
"C05","愛民頓教會(加拿大)"
"C06","本拿比教會(加拿大)"
"CB01","金邊教會(柬埔寨)"
"CI01","嘉義教會"
"CI02","北興教會"
"CI03","西門教會"
"CI04","觸口教會"
"CI05","財團法人真耶穌教會臺灣總會嘉北教會"
"CP01","梧教會"
"CP02","虎尾教會"
"CP02-1","西螺福音中心"
"CP03","土庫教會"
"CP04","北港教會"
"CP05","大德教會"
"CP06","斗南教會"
"CP07","斗六教會"
"CP09","豐榮教會"
"CP10","沙崙祈禱所"
"CQ01","民雄教會"
"CQ01-1","三興教會"
"CQ02","大林教會"
"CQ03","新港教會"
"CQ04","梅山教會"
"CQ05","六合教會"
"CQ06","朴子教會"
"CQ07","新山教會"
"CQ08","樂野教會"
"CQ09","里佳教會"
"CQ10","新美教會"
"CQ11","內埔教會"
"CQ12","四股教會"
"CQ13","達邦教會"
"CQ14","茶山教會"
"CQ15","灣橋教會"
"CQ16","南興教會"
"CQ17","金門祈禱所"
"CQ18","宣信祈禱所"
"CQ19","山美祈禱所"
"DD01","台南教會"
"DD02","南門教會"
"DD03","開元教會"
"DD04","東昇教會"
"DD06","馬公教會"
"DD07","和順教會"
"DD08","喜樹教會"
"DE01","高雄教會"
"DE02","前鎮教會"
"DE03","楠梓教會"
"DE04","十全教會"
"DE04-1","迦美教會"
"DE05","莒光教會"
"DE06","小港教會"
"DE07","三多教會"
"DE08","茂林教會"
"DE09","高醫佈道"
"DE10","寶來祈禱所"
"DR01","麻豆教會"
"DR02","新營教會"
"DR03","永康教會"
"DR04","歸仁教會"
"DS01","岡山教會"
"DS02","路竹祈禱所"
"DS03","鳳山教會"
"DS04","五甲教會"
"DS05","民權教會"
"DS06","民生教會"
"DS07","寶來祈禱所"
"DS08","杉林教會"
"DT01","屏東教會"
"DT02","古樓教會"
"DT03","烏龍教會"
"DT04","潮州教會"
"DT05","高屏小區"
"DT06","枋寮祈禱所"
"DT07","竹坑祈禱所"
"DT08","老埤祈禱所"
"DT09","財團法人真耶穌教會臺灣總會恆春福音中心"
"E01","薩爾茲堡祈禱所(奧地利)"
"E02","曼海姆教會(原海德堡)(德國)"
"E03","萊茵祈禱所(德國)"
"E04","漢堡祈禱所(德國)"
"E05","巴黎教會(法國)"
"E06","恩波里教會(義大利)"
"E07","歐陸辦公室(ECC)"
"E08","維也納教會(奧地利)"
"EG01","羅東教會"
"EG02","南澳教會"
"EG03","碧候教會"
"EG04","武塔教會"
"EG05","金岳教會"
"EG06","宜蘭教會"
"EG07","澳花佈道所"
"EG08","松羅祈禱所"
"EG09","金洋教會"
"EG10","順安教會"
"EU01","花蓮教會"
"EU02","富世教會"
"EU03","山里教會"
"EU04","立山教會"
"EU05","三棧教會"
"EU05-1","加灣祈禱所"
"EU06","銅門教會"
"EU07","崇德教會"
"EU08","西林教會"
"EU09","紅葉教會"
"EU10","克來寶教會"
"EU11","平和教會"
"EU12","玉里教會"
"EU13","北埔教會"
"EU14","南華教會"
"EU15","月眉教會"
"EU16","新社教會"
"EU17","芳寮教會"
"EU18","南富教會"
"EU19","磯崎教會"
"EU20","鹽寮教會"
"EU21","萬寧教會"
"EU22","銅光教會"
"EU23","德安教會"
"EU24","豐坪教會"
"EU27","豐南教會"
"EU28","靜浦教會"
"F01","南非地區"
"FV01","瑞源教會"
"FV02","美和教會"
"FV03","隆昌教會"
"FV05","成功教會"
"FV06","和平教會"
"FV07","大橋教會"
"FV08","豐田教會"
"FV09","忠孝教會"
"FV10","三間教會"
"FV11","忠仁教會"
"FV12","興昌教會"
"FV13","月美教會"
"FV14","重安教會"
"FV15","芝田教會"
"FV16","大俱來教會"
"FV17","美山教會"
"FV18","三仙教會"
"FV19","華源教會"
"FV20","忠勇教會"
"FV21","小馬教會"
"FV22","田組教會"
"FV23","石川教會"
"FV24","竹湖教會"
"FV25","美蘭教會"
"FV26","真柄教會"
"FV27","南溪教會"
"FV28","德高教會"
"FV29","金崙教會"
"FV30","臺東教會"
"FV31","太麻里教會"
"FV32","漁橋教會"
"FV33","八邊教會"
"FV34","鹽濱教會"
"FV35","嘉平教會"
"FV36","池上教會"
"FV37","忠智教會"
"FV38","高台教會"
"FV39","漁人祈禱所(蘭嶼)"
"FV41","良溪教會"
"FV42","豐泉教會"
"FV44","都蘭教會"
"FV45","東光教會"
"FV46","大武祈禱所"
"FV47","延平祈禱所"
"FV49","台東小區"
"FV50","建農祈禱所"
"FV51","土板祈禱所"
"FV52","東南區鐵路小區"
"FV53","成功小區"
"G001","美國總會"
"G001-1","聯總美國辦公室"
"G002","芝加哥教會(美國伊利諾)"
"G003","達拉斯教會(美國德克薩斯)"
"G004","沙迦緬度教會(美國加州)"
"G005","伊莉沙白教會(美國紐澤西)"
"G006","園林教會(美國)"
"G007","喜樂坡教會(美國紐澤西)"
"G008","休斯頓教會(美國德克薩斯)"
"G009","爾灣教會(美國加州)"
"G010","東灣教會(美國加州)"
"G011","太平洋教會(美國加州)"
"G012","費城教會(美國賓州)"
"G013","鳳凰城教會(美國亞歷桑那)"
"G014","皇后教會(美國紐約)"
"G015","聖荷西教會(美國加州)"
"G016","坦帕教會(美國佛羅里達)"
"G017","博恩教會(美國加州)"
"G018","波士頓祈禱所(美國麻薩諸塞)"
"G019","喜瑞都教會(美國加州)"
"G020","懇諾佳教會(美國加州)"
"G021","聖地牙哥祈禱所(美國加州)"
"G022","檀香山教會(美國夏威夷)"
"G023","茂宜祈禱所(美國夏威夷)"
"G024","法拉盛教會(美國紐約)"
"G025","安大略教會(美國加州)"
"GH01","雪霧鬧教會"
"GH02","義盛教會"
"GH03","大灣教會"
"GH031","奎輝祈禱所"
"GH04","復興教會"
"GH04-1","復興小區"
"GH05","上巴陵教會"
"GH06","光華教會"
"GH08","三光教會"
"GH09","中巴陵教會"
