"ERI","CODE","NAME","DESCRIP","APCODE","LASTUPD"
"00O0010IFKASG7UW","05","CD卡帶","","",""
"00O0030248XBB1T6","01","聖經","","","110303121716"
"00O0030248XBB1T7","02","研經工具書","","","110303121716"
"00O0030248XBB1T9","04","教會用品","","","110303121716"
"00O0030248XBB1TB","06","出版商書","","","110303121716"
"00O0030248XBB1TC","07","本會&腓利門出版","除了文宣處之外，還有非總會單位出版書籍","","110303121717"
"00O0030248XBB1TD","08","小冊類","","","110303121717"
"00O0030248XBB1TE","09","頌讚歌本類","","","110303121717"
"00O0030248XBB1TF","10","影帶類","","","110303121717"
"00O0030248XBB1TG","11","社會類","","","110303121717"
"00O0030248XBC1TJ","14","親子類","","","110303121717"
"00O0030248XBC1TK","15","婚禮用品","","","110303121717"
"00O0030248XBC1TL","16","喪禮用品","","","110303121717"
"00O0030248XBC1TM","17","靈恩會用品","","","110303121717"
"00O0030248XBC1TN","19","教牧處","","","110303121717"
"00O0030248XBC1TO","18","文具.卡片.禮品","","","110303121717"
"00O0030248XBC1TP","20","宣道處","","","110303121717"
"00O0030248XBC1TQ","21","神學院教材","","","110303121717"
"00O0030248XBC1TX","28","其他","","","110303121717"
"00O0030248XBC1TY","29","雜誌類","","","110303121717"
"00O0030248XBC1TZ","30","見證福音傳單類","","","110303121717"
"00O0080GIMDJIEIF","22","聯總","","","110303121716"
"00O0080GJN6571YG","23","迦密出版","","","110303121717"
