"ERI","CODE","CLAS","KIND","CNAME","SPEC","CCCCODE","BARCODE","SUPP","PREDAY","USERFLD1","USERFLD2","PRICE1","PRICE2","PRICE3","PRICE4","PRICE5","MADETYPE","CALCUTYPE","LOCALITY","IMPTRATE","GOODRATE","MARGIN","UNIT","INUNIT","INQTY","OUTUNIT","OUTQTY","LEN","WIDE","HIGHT","PUNIT","PACKUNIT","WETUNIT","NW","INNW","PACKNW","GW","INGW","PACKGW","CFT","INCFT","PACKCFT","CTNQTY","CTNINQTY","PACKQTY","FTQTY20","FTINQTY20","FTPQTY20","FTQTY40","FTINQTY40","FTPQTY40","FTQTY40H","FTINQTY40H","FTPQTY40H","FTQTY45","FTINQTY45","FTPQTY45","PACKDESC","PRODDESC","DESCRIP","ENAME","ESPEC","EPDESC","PICTURE","FCOST","CCOST","TDATE","SAFEQTY","MAXQTY","FQTY","CQTY","FBROWQTY","CBROWQTY","FLENDQTY","CLENDQTY","FPHSQTY","CPHSQTY","FORDQTY","CORDQTY","FSASMQTY","CSASMQTY","FSASKQTY","CSASKQTY","FAGTQTY","CAGTQTY","COSTSUBJ","SALESUBJ","STOCKSUBJ","RAWPSUBJ","HFINPSUBJ","FINPSUBJ","INSDATE","FLAG","GPFLAG","TTIME","UPDNFLAG","GUNSALEFLAG","PRHSSUBJ","FMASMQTY","CMASMQTY","FMASKQTY","CMASKQTY","EXPCOST","CURR","MINQTY","PRSFLAG","LPHSDATE","LSALDATE","LINDATE","LOUTDATE","LUPDDATE","LENDSUBJ","BROWSUBJ","EPDESC1","NTAXFLAG","MFLAG","NSDATE","PICTURES","PICTURED","PICTUREB","SCLAS","SCLASNAME","MCLAS","MCLASNAME","BCLAS","BCLASNAME","GPCQTY","APCODE","LASTUPD"
"00K0000E6MP655E9","B308A","01","","西班牙文聖經(SENTA BIBLIA)","400","","B308A","017","0","","","400","0","0","0","0","0","0","","0","0","0","本","本","1","本","1","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","280","280","2008/01/29","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2004/01/01","1","0","","0","0","","0","0","0","0","0","NTD","0","0","","2014/03/17","","2014/03/17","2014/03/17","","","","0","0","","","","","","","","","","","0","","110303123405"
"00K0000E6MP655EB","B308B","01","","西班牙文聖經(SENTA BIBLIA)","350","","B308B","017","0","","","350","0","0","0","0","0","0","","0","0","0","本","本","1","本","1","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","245","245","2008/01/29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2004/01/01","1","0","","0","0","","0","0","0","0","0","NTD","0","0","","2013/10/11","","2013/10/11","2013/10/11","","","","0","0","","","","","","","","","","","0","","110303123405"
"00K00102MSTOSEZJ","S047D","18","","木 匾(特殊訂製品)","另訂","","S047D","035","0","","","0","0","0","0","0","0","0","","0","0","0","塊","塊","1","塊","1","1","1","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","0","0","2009/03/03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2008/02/01","0","0","","0","0","","0","0","0","0","0","NTD","1","0","2009/03/20","2009/03/03","2009/03/20","2009/03/03","2009/03/20","","","","0","0","","","","","","","","","","","0","","110303123453"
"00K00102MSUBRF1K","9789810821616","06","","轉以斯帖的故事(于中旻 著)","150","","9789810821616","007","0","","","150","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","100","100","2009/03/03","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2009/03/03","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2009/03/03","2012/04/05","2009/03/03","2012/04/05","2012/04/05","","","","0","0","","","","","","","","","","","0","","110303123414"
"00K00102N0SP60B9","14026","20","","宣道處DVD(VCD)","","","14026","","0","","","50","0","0","0","0","0","0","","0","0","0","片","片","1","片","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","40","40","2014/09/15","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","7104.","","","","","2009/03/11","1","0","","0","1","5912.","0","0","0","0","0","NTD","1","0","2014/09/01","","2014/09/01","","","","","","0","0","","","","","","","","","","","0","","140915170354"
"00K00102N2TK91CI","9789570471946","06","","和諧的教會(華神)","380","","9789570471946","020","0","","","380","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","217.1","217.1","2009/03/13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2009/03/13","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2009/07/15","2009/12/22","2011/02/10","2009/12/22","2011/02/10","","","","0","0","","","","","","","","","","","0","","110303123453"
"00K00102N7U2D3CN","9789575457563","06","","盧騷懺悔錄 (盧騷 著)","300","","9789575457563","059","0","","","300","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","200","200","2009/03/18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2009/03/18","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2009/03/18","2013/06/24","2009/03/18","2013/06/24","2013/06/24","","","","0","0","","","","","","","","","","","0","","110303123454"
"00K00102N8TQ53S5","B321C","01","","更新版研讀本聖經(標準本)","1880","","9781565821965","089","0","","","1880","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","1222","1303.55556","2014/01/23","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2009/03/19","0","0","","0","0","","0","0","0","0","0","NTD","1","0","2013/08/29","","2013/08/29","","","","","","0","0","","","","","","","","","","","0","","140123135222"
"00K00102N9TX74DX","9789867873514","06","","貞愛部落格","220","","9789867873514","058","0","","","220","0","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","154","146.67442","2009/03/20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2009/03/18","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2009/03/20","2010/03/19","2009/12/31","2010/03/19","2010/03/19","","","","0","0","","","","","","","","","","","0","","110303123454"
"00K00102NCR5I5BR","9789575500788","06","","基督化家庭","200","","9789575500788","027","0","","","200","99","0","0","0","0","1","","0","0","0","本","本","1","本","1","1","1","1","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1100","1100","1100","2100","2100","2100","2300","2300","2300","2900","2900","2900","","","","","","","","75.4","75.4","2011/02/23","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","2009/03/23","1","0","","0","1","","0","0","0","0","0","NTD","1","0","2009/03/24","2009/08/13","2009/03/24","2009/08/13","2009/08/13","","","","0","0","","","","","","","","","","","0","","110303123454"
