CODE,CNAME,BARCODE,PRICE,CQTY
B308A,西班牙文聖經(SENTA BIBLIA),B308A,400,1
S047D,高級原木匾額(南洋木)2.0*1.2尺,S047D,1800,-1
12055,文化與信仰(教牧處),4712120550506,50,6
9781932184037,主耶穌與祂的朋友(麥種),9781932184037,290,1
9781932184020,當主耶穌面對世界(麥種),9781932184020,220,2
E013D,舊約華語讀經CD(2)(15片/列-詩),4711013045006,500,1
H006,469首綠色琴譜讚美詩(19X26CM),4710800602804,280,0
CUNPCS077AZTI,大型金邊串珠姆指索引拉鍊聖經,9789570472530,1400,1
C201,守義人的路(謝忠光 著),9789867893406,250,514
C200,行善人的道(謝忠光 著),9789867893390,250,131
C202,活讀以賽亞書 (林永基 著),9789867893383,800,46
E013G,舊約台語讀經CD(2)(17片/盒),4711013075003,500,1
S040C,週曆手冊(48開),S040C,40,0
H008,469首簡譜精裝讚美詩(15*22CM),4710800802006,200,0
C205,靈糧分享-彼前後.約123(謝溪海),9789867893444,150,128
14028,信仰的探索-初信班造就教材,4714140281507,150,-25
0753,但以理的故事-靜電貼系列(中主),9789575503406,290,-1
9789861981864,改變生命的54封信(校園),9789861986456,220,1
9789624572414,馬可福音析讀(基道),9789624572414,510,9
CU57AZ,輕便型拉鍊皮面聖經,9789570472134,850,32
C210,靈糧分享-教牧書信(謝溪海 著),9789867893512,250,97
CU67AZ,中型皮面拉鍊聖經,9789570472073,1100,22
CU87AZTI,大字版皮面拉鏈索引聖經,9789570472646,1500,52
C212,順道信箱釋疑(4)(順道文集8),9789867893529,250,399
CM12,一場婚禮譜出一趟英國行(林慧瑛),9789869683630,400,4
S046G,A5筆記本(腓利門),4711904670003,20,-537
H034,韓文讚美詩,9788953711112,550,1
9781932184129,馬歇爾新約神學(麥種),9781932184129,1000,1
12057,青教組輔助教材,12057,10,0
C214,活讀提多書 (林永基 著),9789867893543,250,155
12059,台語翻譯事工研習手冊,4712120590304,30,5
H007-1,469首簡譜大字版讚美詩(19*26CM),4710800702016,400,81
C217,心起飛的時候 (蔡恆忠 著),9789867893574,250,59
B7,希伯來文新約聖經,9789654310024,500,1
S011-1,英年離世版勸慰詞(含信封)　　　,S011-1,30,316
S011-2,高齡離世版勸慰詞(含信封)　　　,S011-2,30,665
S011-3,教會負責人版勸慰詞(含信封)　　,S011-3,30,450
S011-4,聖職人員版勸慰詞(含信封)　　,S014,30,418
S011-5,聖職人員配偶/事工人員版勸慰詞,S015,30,582
S011-6,未信/慕道離世版勸慰詞,S016,30,340
CUNP63A,新標點中型聖經,9789867530042,450,3
CU63A,中型聖經,9789570472059,400,329
CU53A,輕便型硬面聖經,9789570472103,340,32
CU83A,大字版漆布聖經,9789570472622,600,84
CBT7913,中英NKJV精裝黑色白邊(標準本),9789625139135,850,0
CBT7914,中英NKJV皮面黑色金邊(標準本),9789625139142,1000,0
CBT7915,中英NKJV皮面紅色金邊(標準本),9789625139159,1000,501
CBT7916,中英NKJV皮面藍色銀邊(標準本),9789625139166,1000,315
CBT7917,中英NKJV皮面黑色金邊拉鍊,9789625139173,1900,0
CBT7918,中英NKJV皮面紅色金邊拉鍊,9789625139180,1900,87
CBT7919,中英NKJV皮面藍色金邊拉鍊,9789625139197,1900,0
130017,Our Basic Beliefs,4711300172002,200,0
E123-2,神劇以利亞DVD(箴言詩篇聖樂團),4711123027008,99,343
CU53ARN,中型和合紅字筆記聖經,9789867530455,600,4
C219,迦密甘霖1(順道文集11),9789867893604,180,39
9789861983196,目賭生命之道-解讀約翰福音(校園,9789861983196,400,1
D001,箴言釋義(邱義雄),4710040013507,350,53
E123-4,盼望的旅程CD(箴言詩篇聖樂團),4711123042506,99,77
E123-5,恩典頌歌CD(箴言詩篇聖樂團),4711123053007,99,546
12601,何烈山詩班CD,4711126012407,240,0
CCT11795,生命成長版和合聖經(漢語),9789625137957,900,2
9789575870119,歷史的軌跡-二千年教會史(校園),9789575870119,500,0
130-1,白話字實用教科書(公報社),130-1,20,10
RB,布掛軸(細長型)(申嘉),4713027378439,378,1
RD,布掛軸(短小型)(申嘉),4713027175199,175,9
130018,說教精粹集(一)-日語,4711300181806,180,2
130019,說教精粹集(二)-日語,4711300191805,180,2
9789861982298,基督教歷史輕鬆讀(校園),9789861982298,600,1
RCUH53A,和合修訂橫排輕便型硬面聖經,9789622932012,450,0
CCT1827,靈修版桃紅皮面聖經(漢語),9789625138275,1500,2
BS1069,兒童品格聖經(進階篇)(環球),9789888124817,800,0
CM16,撒母耳記講義(邱義雄著),9789869066808,350,0
CD49,匯恩單片裝CD,4710304492888,288,24
H016-1,469首四部簡譜大字版讚美詩,H016-1,250,4
C228,靈糧分享-小先知書2(謝溪海著),9789867893741,300,4
C229,究天人之際(榮光文集),9789867893727,250,316
C230,通古今之變(榮光文集),9789867893710,200,253
C231,教會的先存與神安排的救贖,9789867893734,450,68
9789861984209,神啊!說好的那個人呢?(校園),9789861984568,320,1
C234,五經典考(陳勝全著),9789867893772,500,165
CCT12901,和合本.研讀本硬面聖經(漢語),9789625139012,1500,1
C235,迦密甘霖3(順道文集13),9789867893789,180,537
H027A,阿美語469首五線譜讚美詩,4710802702007,100,1847
CAT6844,新漢語註釋大字新約聖經(漢語),9789625138442,420,0
8033,聖經找找看-耶穌的故事(中主),9789624887198,380,1
8035,聖經找找看-舊約歷險記(中主),9789624887211,380,1
0712,親子聖經故事精選(中主),9789575504359,360,3
C236,迦密甘霖4(順道文集14),9789867893796,180,491
C237,活讀提摩太前後書(林永基著),9789867893802,500,95
CM18,真理的聖靈(張福華著),9789869066839,250,4
130021,聖靈論日文版(謝順道 著),130021,250,13
9789623992312,聖經人物事件簿(海天),9789623992312,450,0
0862,養育的藝術(中主),9789575504731,300,2
130022,The Gospel of John(約翰),9781930264151,250,0
130023,民數記中的基督(英文版),4711300231006,100,1
130024,洗禮論(英文版),4711300241005,100,0
C241,主耶穌的比喻(謝溪海著),9789867893840,300,1
CHT0423,聖經小偵探-尋找上帝的子民|漢語,9789888286423,150,2
CHT0430,聖經小偵探-尋找應許之地|漢語,9789888286430,150,2
CHT0447,聖經小偵探-尋找耶穌|漢語,9789888286447,150,2
CHT0454,聖經小偵探-尋找基督徒(漢語),9789888286454,150,3
9789861984674,同行-最美的陪伴(校園),9789861984674,150,9
TD1392P,馬可福音(卷下)(天道),9789622089327,970,1
9789576938153,哀傷中有盼望(張老師文化),9789576938153,150,5
9789865896430,獄卒不畫會死(綠竹林),9789865896430,300,3
817,社群癮(道聲),9789864001224,320,2
130026,聖靈論韓文版(謝順道 著),9788996091387,250,5
PU01,百年紀念一卡通,4711621002507,150,0
D007,硬筆書法字帖(聖經經卷篇),9789869319010,150,0
422529,少年聖經/海天,9789623991841,690,1
CKT0072,默想舊約希伯來文(漢語),9789888286072,500,0
CKT0737,默想新約希臘文(漢語),9789888286737,500,1
36009,女性主義與基督教(華宣),9789865801182,320,3
